material_id,formation_energy_per_atom,nsites
mp-1645,-0.524021496818181,22
mp-1228964,-0.5870029005014871,10
mp-1228988,-0.072474530250002,20
mp-9631,-2.304877096666654,8
mp-5782,-0.904003048906249,8
mp-14091,-0.7432121020312501,8
mp-1228963,-0.769702025148809,7
mp-14092,-0.43926148875000204,8
mp-2172,-0.627042776249999,2
mp-567734,-1.03045002140625,48
mp-558360,-1.003615093461538,26
mp-5189,-2.456086594583332,18
mp-1025306,-0.568372223214282,7
mp-1399,-0.42298121250000104,8
mp-569558,-0.333313270833334,12
mp-1490,-0.22434480649999902,20
mp-7574,-0.48689827250000106,6
mp-1070916,-0.32112350250000005,6
mp-672273,-1.714143323750001,32
mp-561350,-1.580356138571429,28
mp-637206,-1.581969395691965,28
mp-628665,-1.536814738809524,28
mp-23288,-1.518050286874999,16
mp-1214833,-2.583134489166666,12
mp-1102961,-1.463698009166666,12
mp-25469,-1.692806269374999,8
mp-27863,-2.785187891666666,6
mp-284,-0.556456129999999,2
mp-9956,-0.17222914625000002,8
mp-637575,-0.36287728624999804,8
mp-1228999,-1.011209352261903,14
mp-1228960,-1.048169373571428,14
mp-1229004,-0.841807363482142,14
mp-1229097,-2.542837820714286,14
mp-862781,-0.3686861925,4
mp-2500,-0.24248409,10
mp-1228984,-0.55887899333482,10
mp-12802,-0.20196853,8
mp-867306,-0.25772352000000004,4
mp-1102536,-1.213548159999999,12
mp-28020,-1.319186356666666,12
mp-1228980,-0.7430883706249991,7
mp-3098,-2.417624361249986,8
mp-866296,-0.6301237899999991,4
mp-12550,-0.7594491199999991,4
mp-4979,-0.963132853906248,8
mp-8016,-0.7563341932812491,8
mp-1228961,-0.910110392142856,14
mp-1229027,-0.772785169196429,7
mp-8017,-0.42519420625000104,8
mp-468,-3.86576940625,8
mp-2658,-0.326887014999999,2
mp-867878,-0.44477182749999905,4
mp-862288,-0.20830292249999902,4
mp-1183162,-0.198893174999999,4
mp-22793,-0.159749470999999,5
mp-1206123,-0.20500472224999902,5
mp-10884,-0.35879662500000004,4
mp-17477,-2.750685666517856,32
mp-861953,-0.595923447499998,4
mp-1228891,-0.537332601249999,4
mp-1228893,-0.37752743999999905,4
mp-1228918,-0.35302968250000005,8
mp-1228900,-0.273077184444446,9
mp-867904,-0.517801542499999,4
mp-23743,-1.475989831363636,44
mp-643387,-2.551256586388889,18
mp-23933,-0.073632082812499,8
mp-696815,-2.19714858625,40
mp-1214960,-1.599531583496093,32
mp-1192001,-1.654701392708332,24
mp-1191939,-1.593938973541667,24
mp-1228986,-1.618079401875,12
mp-625152,-2.6528255821875,16
mp-1105277,-2.26148272546875,16
mp-30930,-0.9552141906250001,16
mp-27935,-1.32499238,16
mp-1214853,-1.380429771527776,24
mp-638061,-1.491166371666666,24
mp-571260,-0.8898664715277751,24
mp-504482,-1.002490066354166,30
mp-862787,-0.8639210584375001,30
mp-1885,-1.070602759999999,2
mp-259,-0.258336353750003,8
mp-661,-1.6796721718749992,4
mp-1487,-0.6849011500000001,2
mp-1214877,-2.320189297407406,36
mp-2593,-0.42641977749999904,4
mp-1228832,-0.336871960000001,8
mp-1214829,-2.4922114857575752,22
mp-1550,-0.737248783988095,2
mp-1196119,-0.652142632111344,34
mp-568423,-0.6438012067142851,40
mp-5331,-3.12717220299603,18
mp-1228856,-0.66189478299602,18
mp-1025271,-0.6679614925680291,7
mp-1102285,-0.6941880198710311,12
mp-7189,-0.9356018049999991,8
mp-2824,-0.8292466416666661,12
mp-605663,-0.46204495833333203,24
mp-27393,-0.524211835,8
mp-10904,-1.13101585,8
mp-16960,-0.923852272499999,24
mp-607111,-0.7531256231249941,16
mp-1228815,-0.382194888749999,4
mp-10909,-0.32302287499999705,3
mp-1228817,-0.28877370083333104,3
mp-1228809,-0.45734168416666604,3
mp-364,-1.17748661,2
mp-542569,-0.728409132500001,2
mp-556418,-1.831841661071428,14
mp-555805,-0.9023574200347211,18
mp-2624,-0.252975485,2
mp-1194909,-1.3013409741319442,36
mp-1204489,-1.236893261083333,40
mp-676861,-2.5433669,6
mp-1205403,-0.9633391423958331,18
mp-1227997,-0.264832075833335,6
mp-1228032,-0.295583669375002,8
mp-862778,-0.7554451362499991,4
mp-31220,-0.332382315999998,10
mp-1018166,-0.467612646666665,3
mp-573751,-1.124001829722222,36
mp-29407,-0.680516245185186,18
mp-18733,-2.203208559444446,12
mp-1539038,-2.910299935624998,16
mp-567878,-1.464957673888887,24
mp-567716,-1.836471812222224,24
mp-3751,-3.2540289300000023,12
mp-607829,-0.9711981497222221,24
mp-985477,-1.138304947708334,32
mp-863762,-0.9003726551562501,32
mp-1228177,-3.082131854102565,26
mp-1228209,-2.9007873485714297,42
mp-1228001,-0.28638329500000004,2
mp-1025497,-0.5740756675,8
mp-1281387,-2.764986320714285,14
mp-2767452,-2.835161980714285,28
mp-1387,-0.169027858749999,8
mp-1228807,-0.20036260250000001,8
mp-1228829,-0.23588536937499902,8
mp-1228971,-0.13348005708333202,24
mp-4955,-0.44793970249999904,4
mp-5778,-0.42876261999999904,4
mp-20014,-2.4600990815,40
mp-18827,-2.796821249444444,36
mp-862700,-0.60377356,4
mp-866001,-0.730717902500003,4
mp-1182867,-2.682709359999999,6
mp-1228837,-1.177997197857142,14
mp-862705,-0.693766981249999,4
mp-866033,-0.8575285962499991,4
mp-23155,0.0,1
mp-158,0.0,4
mp-28159,-1.6685016422500012,20
mp-27445,-1.726892136249988,20
mp-558244,-1.912761675277777,18
mp-30934,-0.49507149223214203,28
mp-557417,-1.891481795454545,44
mp-15649,-0.571072849166668,12
mp-1582,-1.626348611000001,20
mp-1788,-1.557510087142856,28
mp-2455,-0.303892785000002,6
mp-540883,-0.23662250460362502,44
mp-557799,-1.8929614597916662,48
mp-505465,-1.639667804722222,36
mp-505368,-1.733542170769229,26
mp-31107,-1.634658171956522,46
mp-28537,-1.646121696071428,28
mp-20015,-1.7332001416666651,9
mp-20465,-0.352124162499999,12
mp-2513,-0.607378169999999,12
mp-15954,-0.5725928316666651,12
mp-766,-0.45673630666666704,6
mp-1189572,-0.156509995187498,20
mp-27230,-1.684100125833333,18
mp-909,-0.139482853937499,20
mp-27404,-1.456309445486112,18
mp-626378,-1.575999330624999,40
mp-540912,-0.508268478749997,16
mp-1192209,-1.616680986458334,24
mp-561268,-1.647441325833333,48
mp-1214749,-1.7265428767857132,42
mp-510724,-1.62900363875,36
mp-1214667,-1.824253077023809,42
mp-8182,-0.49874215187499904,16
mp-11696,-0.0927698695,10
mp-1228867,-0.5237741229761891,15
mp-1095378,-1.16497064791667,12
mp-23317,-0.860313386875,16
mp-1229049,-1.830988002045455,44
mp-23444,-1.580068915416666,24
mp-23280,-0.755685861249999,16
mp-29863,-1.156071267499999,20
mp-27926,-1.596720471,20
mp-1201143,-1.7718805006818181,44
mp-28027,-2.229369302499999,16
mp-8723,-2.152408185416666,12
mp-1191113,-2.054519582386364,22
mp-1228828,-1.6462676583928562,14
mp-23218,-0.47864313937499803,8
mp-31020,-1.446461231874999,24
mp-1228823,-0.699005755937501,12
mp-1228810,-0.622789714687499,12
mp-30010,-1.485383560462962,36
mp-1182477,-1.890011069249999,10
mp-685810,-1.53555581085,50
mp-1214793,-0.44338814343749705,12
mp-1214784,-0.313583645520831,12
mp-8140,-2.198969101190476,24
mp-14367,-2.064414745306121,28
mp-29992,-2.40769107972222,18
mp-8073,-0.371112764999999,12
mp-1105134,-0.364774416249996,16
mp-20257,-0.351475592916666,12
mp-2512,-0.269940265416664,12
mp-10848,-0.40359472510416505,12
mp-10849,-0.38689818552083205,12
mp-2302,-0.5298349875,3
mp-1228745,-0.731231218437502,12
mp-1228724,-0.6661096080208321,12
mp-1214786,-0.592859944270832,12
mp-542810,-0.159580558906249,32
mp-558466,-1.746848168863636,44
mp-556705,-1.832379640681818,44
mp-557628,-1.790851937750002,40
mp-542570,-0.11949234390624801,32
mp-1214921,-1.7975172627130682,44
mp-554706,-1.8820624545312499,44
mp-559575,-1.7037208815767042,44
mp-23569,-1.31260652796875,28
mp-505373,-0.45124700661458106,12
mp-27750,-1.8946784313888752,36
mp-81,0.0,1
mp-990238,-0.9614194822222221,9
mp-27253,-0.45785339499999805,10
mp-947,-0.118341825937501,6
mp-559824,-0.906057643135418,30
mp-27441,-0.9884635352573481,34
mp-17407,-1.089517318181818,22
mp-505366,-0.40299109374999903,8
mp-27213,-0.556991212499999,32
mp-30159,-1.29653018625,16
mp-32780,-0.264202023750002,8
mp-541656,-0.31720318750000104,12
mp-27647,-0.323221143125,16
mp-27265,-0.598648675555555,18
mp-942,-1.101981742499999,24
mp-30103,-0.8650549835416661,48
mp-27725,-0.265866406249999,8
mp-1214760,-0.20558824833333403,6
mp-560745,-0.6861960044999991,40
mp-28192,-0.298684163973214,28
mp-556587,-0.28595768864583304,36
mp-30003,-1.313295811874998,48
mp-2793,-0.14021907453124502,4
mp-27199,-0.490861640364582,24
mp-28372,-0.356808604340276,36
mp-560549,-0.915634184140625,24
mp-160,0.0,12
mp-23791,-1.854174557559518,28
mp-27184,-2.458742290180167,37
mp-576,-0.094896928833333,15
mp-2331,-0.44864111666666806,6
mp-1196917,-1.973493511111109,42
mp-306,-2.798056310000001,15
mp-2850,-0.23460797166666703,6
mp-1077,-0.308338266666668,6
mp-1019509,-2.088806264487179,13
mp-558521,-1.903957732092802,44
mp-569803,-0.320738852499999,12
mp-1079348,-0.273454191500002,10
mp-1196893,-0.211636451447367,38
mp-13854,-0.35249670649999904,10
mp-1238815,-0.130572651333333,15
mp-1228631,-0.291843026666668,6
mp-9747,-2.647339741388887,24
mp-567926,-0.40834903444444204,18
mp-1228672,-0.37363573925000504,10
mp-624,-0.20918894107142802,14
mp-31064,-0.27971710919117604,34
mp-1346,-0.8052726050000011,14
mp-28395,-0.326223649710885,14
mp-622018,-1.819980404895833,32
mp-3277,-2.130445326111111,6
mp-23225,-0.927507426041666,8
mp-557856,-1.947817728020833,16
mp-23184,-1.0426612775,8
mp-23398,-1.808708441249999,32
mp-27896,-2.927657615937501,32
mp-1105235,-1.9099985425520831,16
mp-707009,-2.387841855952381,28
mp-696379,-2.285948338657407,18
mp-720391,-1.969816386166667,40
mp-696656,-2.066942876916666,40
mp-1196968,-2.039009698159722,48
mp-862539,-1.432805491777777,15
mp-1198592,-2.258127566145833,48
mp-23189,-0.347344851041667,8
mp-1183252,-0.21504744125000003,2
mp-28897,-0.30419117,12
mp-1890,-0.5239632375000021,8
mp-604884,-1.412978993125001,4
mp-555207,-2.098579680208334,32
mp-4674,-1.7526936364166672,40
mp-1182442,-2.114042669861111,24
mp-997617,-0.272355456249999,2
mp-1479,-0.48330429523809504,2
mp-567433,-0.66051848110119,32
mp-1201622,-0.87197091328869,32
mp-1195775,-1.920354140317461,48
mp-3589,-2.76428254563492,6
